index,R
450,19.115
451,13.445
452,39.419
453,19.177
454,32.134
455,17.119
456,16.469
457,43.553
458,48.834
459,8.4009
460,16.791
461,22.301
462,35.468
463,41.956
464,40.68
465,14.173
466,12.073
467,24.095
468,4.8988
469,34.383
470,43.978
471,42.836
472,0.96718
473,20.647
474,9.8259
475,23.447
476,42.988
477,47.593
478,40.654
479,34.738
480,2.5036
481,26.965
482,27.865
483,22.145
484,4.5577
485,31.623
486,9.8949
487,16.203
488,30.443
489,12.091
490,32.497
491,11.37
492,18.992
493,48.273
494,3.5456
495,24.069
496,3.5867
497,47.559
498,36.11
499,40.869
500,27.806
501,1.348
502,25.058
503,18.727
504,7.0137
505,14.952
506,38.049
507,12.743
508,40.173
509,16.508
510,18.232
511,36.601
512,37.162
513,42.285
514,43.056
515,12.346
516,18.065
517,28.758
518,21.378
519,9.9093
520,36.761
521,35.471
522,33.773
523,7.4967
524,15.688
525,24.734
526,21.6
527,30.714
528,29.259
529,14.322
530,1.3644
531,37.211
532,43.452
533,34.927
534,20.621
535,19.762
536,3.1101
537,17.688
538,8.7545
539,29.793
540,17.299
541,14.477
542,9.3507
543,34.794
544,42.476
545,19.56
546,28.027
547,41.258
548,13.507
549,3.572
550,16.043
551,47.451
552,37.226
553,21.075
554,29.548
555,35.994
556,35.306
557,31.661
558,37.0
559,47.272
560,35.006
561,20.323
562,40.418
563,28.984
564,20.23
565,34.932
566,18.124
567,38.98
568,43.265
569,34.59
570,2.641
571,32.263
572,4.7869
573,19.801
574,6.591
575,34.982
576,10.888
577,2.7287
578,37.236
579,40.504
580,24.216
581,42.779
582,32.172
583,35.675
584,29.612
585,41.63
586,35.606
587,6.2472
588,33.946
589,27.18
590,20.654
591,16.445
592,17.49
593,23.349
594,27.391
595,22.034
596,23.661
597,39.825
598,15.298
599,13.096
600,42.9
601,20.696
602,10.288
603,20.207
604,27.874
605,28.779
606,8.1078
607,9.4946
608,38.28
609,14.724
610,25.791
611,10.386
612,23.184
613,41.076
614,24.727
615,25.53
616,41.718
617,23.486
618,8.933
619,12.659
620,34.489
621,7.6199
622,42.505
623,40.483
624,17.61
625,20.898
626,46.048
627,4.861
628,26.94
629,44.614
630,3.5433
631,34.659
632,18.433
633,24.442
634,5.5502
635,10.269
636,18.809
637,11.685
638,22.386
639,16.785
640,36.628
641,3.5181
642,38.927
643,30.261
644,9.0867
645,43.161
646,6.3218
647,30.726
648,3.8807
649,26.619
650,38.286
651,28.824
652,15.546
653,44.628
654,19.449
655,25.396
656,10.007
657,35.51
658,37.725
659,18.632
660,15.634
661,40.876
662,48.295
663,26.261
664,43.915
665,27.158
666,12.715
667,45.52
668,4.6613
669,8.9338
670,45.886
671,27.962
672,34.851
673,12.223
674,13.003
675,8.377
676,22.113
677,39.564
678,12.63
679,14.43
680,1.0521
681,4.8353
682,18.465
683,4.2175
684,43.651
685,9.6273
686,33.719
687,12.195
688,27.187
689,11.194
690,18.735
691,19.098
692,15.47
693,41.186
694,41.504
695,34.869
696,9.2834
697,44.102
698,24.299
699,39.62
700,45.164
701,31.3
702,13.881
703,43.492
704,35.892
705,35.83
706,30.862
707,11.896
708,37.523
709,41.737
710,16.324
711,3.0423
712,20.243
713,18.99
714,16.927
715,9.4885
716,9.8582
717,17.49
718,5.2793
719,43.332
720,48.008
721,11.416
722,24.39
723,13.576
724,5.6778
725,37.428
726,40.976
727,9.1439
728,15.451
729,47.587
730,22.04
731,20.679
732,25.225
733,3.217
734,35.647
735,27.528
736,25.559
737,38.691
738,37.162
739,4.261
740,41.762
741,22.284
742,36.851
743,27.567
744,41.623
745,24.258
746,20.658
747,23.595
748,45.088
749,39.06
750,27.548
751,39.659
752,22.896
753,23.982
754,27.553
755,7.1814
756,22.989
757,11.195
758,41.226
759,25.337
760,38.084
761,28.182
762,7.5434
763,33.853
764,11.673
765,19.19
766,22.562
767,30.24
768,15.077
769,14.265
770,3.9525
771,30.421
772,28.658
773,20.825
774,17.266
775,1.3106
776,46.88
777,46.054
778,26.303
779,37.616
780,13.224
781,3.0461
782,11.295
783,33.289
784,46.623
785,34.565
786,36.789
787,13.729
788,26.687
789,8.5694
790,43.229
791,32.249
792,11.127
793,5.3943
794,11.118
795,33.997
796,32.752
797,3.3047
798,41.86
799,28.608
800,19.378
801,18.551
802,36.318
803,46.929
804,30.389
805,7.9106
806,38.524
807,35.363
808,17.424
809,19.163
810,20.668
811,30.936
812,16.673
813,21.863
814,26.895
815,38.905
816,34.995
817,48.039
818,13.602
819,29.451
820,25.959
821,14.848
822,43.792
823,10.657
824,4.1745
825,9.6911
826,20.433
827,42.975
828,35.215
829,16.053
830,21.769
831,11.178
832,27.473
833,4.4925
834,28.165
835,14.013
836,9.5486
837,17.129
838,15.235
839,13.221
840,26.749
841,16.055
842,8.1064
843,1.8592
844,20.754
845,26.419
846,37.228
847,13.22
848,15.631
849,21.742
850,29.983
851,14.16
852,22.876
853,6.393
854,10.036
855,2.1316
856,7.6125
857,11.655
858,36.437
859,5.6244
860,26.846
861,7.6092
862,22.744
863,35.317
864,15.322
865,20.12
866,18.226
867,23.124
868,7.979
869,31.274
870,10.806
871,23.292
872,14.423
873,31.393
874,37.555
875,26.023
876,31.629
877,2.2657
878,14.552
879,33.141
880,27.623
881,24.157
882,21.907
883,24.133
884,37.933
885,39.553
886,46.251
887,31.248
888,31.939
889,45.393
890,13.419
891,36.175
892,38.014
893,25.976
894,14.713
895,19.266
896,20.681
897,5.3393
898,47.222
899,37.155
900,48.739
901,22.588
902,19.395
903,34.665
904,21.42
905,30.953
906,27.218
907,19.482
908,18.566
909,25.012
910,37.133
911,9.0913
912,31.99
913,40.878
914,2.3469
915,16.923
916,48.331
917,46.212
918,30.527
919,39.254
920,23.25
921,11.536
922,30.798
923,26.256
924,27.681
925,13.881
926,44.941
927,21.322
928,12.948
929,13.819
930,27.954
931,1.4509
932,3.3314
933,16.088
934,30.645
935,43.553
936,24.887
937,16.567
938,20.626
939,6.6795
940,10.536
941,20.718
942,21.549
943,29.46
944,24.034
945,10.44
946,3.6358
947,39.301
948,12.66
949,37.775
950,13.25
951,46.422
952,36.357
953,17.396
954,5.1603
955,42.153
956,36.851
957,33.779
958,43.545
959,35.89
960,24.42
961,11.961
962,16.013
963,22.352
964,14.697
965,3.8773
966,20.415
967,6.7533
968,30.714
969,4.2115
970,27.981
971,46.68
972,4.5946
973,43.616
974,3.0747
975,18.912
976,36.25
977,10.268
978,19.512
979,43.65
980,20.905
981,42.253
982,25.089
983,37.582
984,37.865
985,42.797
986,25.751
987,30.831
988,40.013
989,24.246
990,16.86
991,40.725
992,31.23
993,30.04
994,45.05
995,33.423
996,5.3738
997,38.72
998,14.163
999,24.865
1000,13.038
1001,28.398
1002,38.711
1003,19.431
1004,5.4099
1005,34.059
1006,26.601
1007,20.54
1008,8.297
1009,26.882
1010,14.937
1011,2.282
1012,44.389
1013,42.699
1014,30.043
1015,15.1
1016,30.195
1017,2.8369
1018,6.3137
1019,13.562
1020,24.731
1021,34.005
1022,29.485
1023,45.082
1024,8.9737
1025,37.725
1026,46.797
1027,34.299
1028,2.5821
1029,21.233
1030,6.2136
1031,6.8669
1032,22.938
1033,15.035
1034,23.553
1035,30.952
1036,28.442
1037,10.778
1038,5.4692
1039,46.037
1040,45.033
1041,30.439
1042,35.582
1043,36.601
1044,6.8906
1045,36.514
1046,41.591
1047,43.87
1048,6.1595
1049,37.26
1050,45.997
1051,36.969
1052,2.3495
1053,15.378
1054,21.913
1055,7.9366
1056,42.55
1057,14.007
1058,15.762
1059,18.478
1060,29.58
1061,22.019
1062,37.576
1063,22.915
1064,27.825
1065,10.259
1066,33.621
1067,21.528
1068,40.022
1069,23.471
1070,1.4542
1071,15.354
1072,3.3377
1073,18.991
1074,13.738
1075,2.3136
1076,25.388
1077,2.6211
1078,26.914
1079,25.85
1080,2.5658
1081,12.818
1082,38.832
1083,25.518
1084,2.2444
1085,4.3409
1086,24.678
1087,26.552
1088,27.832
1089,21.189
1090,12.372
1091,31.121
1092,11.58
1093,33.271
1094,3.6768
1095,15.445
1096,26.949
1097,17.838
1098,31.284
1099,2.5137
1100,20.496
1101,5.4226
1102,33.185
1103,48.296
1104,40.995
1105,47.236
1106,1.2423
1107,17.052
1108,31.949
1109,22.052
1110,20.753
1111,27.215
1112,30.219
1113,32.916
1114,30.875
1115,32.314
1116,21.993
1117,11.419
1118,24.59
1119,30.808
1120,33.56
1121,39.393
1122,14.01
1123,8.5522
1124,29.115
1125,45.033
1126,23.01
1127,13.657
1128,7.7493
1129,16.629
1130,15.976
1131,13.47
1132,44.041
1133,40.861
1134,15.27
1135,34.714
1136,36.956
1137,30.376
1138,19.619
1139,31.413
1140,46.207
1141,22.496
1142,42.494
1143,8.8118
1144,44.824
1145,22.913
1146,21.018
1147,29.683
1148,32.731
1149,9.4404
1150,11.706
1151,32.971
1152,27.906
1153,4.7729
1154,20.073
1155,12.839
1156,28.401
1157,18.349
1158,44.602
1159,10.866
1160,2.8473
1161,29.585
1162,18.54
1163,46.311
1164,41.112
1165,6.7017
1166,12.28
1167,24.8
1168,11.623
1169,26.012
1170,43.638
1171,16.241
1172,33.837
1173,2.8861
1174,14.813
1175,48.329
1176,42.4
1177,48.077
1178,23.977
1179,5.7945
1180,46.391
1181,31.542
1182,21.689
1183,20.771
1184,9.6729
1185,12.617
1186,17.743
1187,35.673
1188,41.776
1189,33.829
1190,17.798
1191,12.232
1192,31.014
1193,14.875
1194,29.511
1195,33.705
1196,18.1
1197,23.86
1198,20.365
1199,3.0659
1200,46.726
1201,4.892
1202,41.962
1203,34.537
1204,4.5523
1205,7.4159
1206,44.369
1207,38.101
1208,40.232
1209,35.443
1210,48.831
1211,24.328
1212,18.413
1213,13.096
1214,17.447
1215,36.11
1216,43.247
1217,33.85
1218,34.923
1219,6.3307
1220,31.606
1221,35.773
1222,16.656
1223,31.801
1224,9.31
1225,8.436
1226,17.529
1227,39.857
1228,45.221
1229,16.734
1230,44.206
1231,5.6754
1232,3.2993
1233,32.421
1234,4.2546
1235,5.0947
1236,29.892
1237,19.667
1238,26.851
1239,44.938
1240,3.5335
1241,7.7342
1242,39.336
1243,9.2396
1244,8.3521
1245,10.079
1246,16.225
1247,4.1299
1248,38.432
1249,14.874
1250,34.598
1251,36.747
1252,15.22
1253,28.029
1254,22.929
1255,32.502
1256,44.844
1257,24.025
1258,32.538
1259,25.95
1260,3.3438
1261,32.605
1262,6.1066
1263,10.972
1264,38.163
1265,44.192
1266,45.914
1267,24.242
1268,12.609
1269,40.469
1270,12.82
1271,27.174
1272,27.181
1273,16.636
1274,30.972
1275,27.034
1276,15.688
1277,5.4586
1278,19.845
1279,12.028
1280,2.3897
1281,14.091
1282,44.298
1283,23.109
1284,11.748
1285,26.11
1286,4.573
1287,6.4469
1288,5.0016
1289,25.451
1290,32.42
1291,26.527
1292,18.077
1293,33.622
1294,36.044
1295,21.29
1296,1.9535
1297,12.64
1298,5.2011
1299,6.6311
1300,27.395
1301,20.451
1302,29.315
1303,4.3333
1304,22.463
1305,11.139
1306,23.489
1307,7.4801
1308,9.5574
1309,31.22
1310,28.779
1311,42.803
1312,36.516
1313,38.501
1314,28.089
1315,8.0825
1316,12.101
1317,17.143
1318,19.343
1319,46.508
1320,27.111
1321,19.243
1322,10.836
1323,9.2365
1324,18.712
1325,38.15
1326,6.0728
1327,28.074
1328,28.83
1329,23.229
1330,40.568
1331,29.967
1332,43.352
1333,2.1678
1334,21.557
1335,14.553
1336,25.022
1337,33.815
1338,29.362
1339,40.137
1340,34.926
1341,31.898
1342,14.319
1343,12.19
1344,41.843
1345,22.819
1346,12.943
1347,8.6729
1348,31.939
1349,22.819
1350,37.757
1351,2.3037
1352,5.8993
1353,35.446
1354,16.6
1355,36.69
1356,11.077
1357,36.943
1358,26.42
1359,5.5009
1360,40.146
1361,41.573
1362,10.101
1363,8.9998
1364,35.149
1365,8.3774
1366,19.258
1367,25.725
1368,12.688
1369,31.267
1370,27.694
1371,43.874
1372,27.816
1373,26.845
1374,37.406
1375,6.8179
1376,36.098
1377,36.98
1378,27.065
1379,35.368
1380,37.074
1381,40.819
1382,48.235
1383,3.31
1384,16.572
1385,3.3075
1386,11.682
1387,42.603
1388,21.785
1389,14.273
1390,5.7487
1391,37.893
1392,21.555
1393,33.549
1394,12.302
1395,8.5185
1396,15.523
1397,19.895
1398,2.496
1399,10.773
1400,14.259
1401,34.06
1402,44.546
1403,14.745
1404,34.495
1405,31.338
1406,32.835
1407,10.002
1408,17.905
1409,42.427
1410,10.284
1411,17.779
1412,40.671
1413,46.292
1414,20.091
1415,39.572
1416,28.902
1417,26.081
1418,39.743
1419,21.064
1420,40.405
1421,40.408
1422,28.477
1423,24.265
1424,4.1847
1425,39.326
1426,13.533
1427,12.45
1428,10.389
1429,9.8081
1430,39.066
1431,17.051
1432,36.543
1433,47.724
1434,12.377
1435,20.766
1436,33.548
1437,25.245
1438,14.635
1439,43.367
1440,4.9039
1441,19.006
1442,21.044
1443,41.042
1444,32.207
1445,9.1483
1446,26.658
1447,30.135
1448,14.6
1449,22.644
1450,22.182
1451,3.9551
1452,10.769
1453,29.759
1454,45.004
1455,30.467
1456,27.948
1457,9.392
1458,2.8429
1459,11.292
1460,41.96
1461,3.4041
1462,13.098
1463,38.729
1464,45.19
1465,27.921
1466,39.805
1467,6.8285
1468,4.9572
1469,36.026
1470,20.745
1471,9.0688
1472,17.517
1473,17.502
1474,8.0322
1475,13.679
1476,31.465
1477,40.874
1478,45.069
1479,32.296
1480,44.445
1481,15.877
1482,3.4369
1483,41.502
1484,26.408
1485,19.872
1486,34.085
1487,43.402
1488,45.273
1489,2.3623
1490,16.824
1491,19.534
1492,42.312
1493,18.929
1494,6.087
1495,35.377
1496,2.3088
1497,42.878
1498,47.983
1499,23.184
1500,27.546
1501,15.77
1502,20.178
1503,41.338
1504,26.147
1505,30.512
1506,23.611
1507,11.714
1508,27.603
1509,16.561
1510,7.3221
1511,34.769
1512,16.092
1513,13.342
1514,12.693
1515,27.705
1516,44.341
1517,38.693
1518,38.35
1519,33.579
1520,10.627
1521,23.338
1522,10.933
1523,33.643
1524,28.491
1525,29.46
1526,46.928
1527,36.551
1528,9.9412
1529,11.543
1530,39.881
1531,8.6567
1532,13.059
1533,7.8627
1534,20.556
1535,40.875
1536,42.451
1537,28.887
1538,3.3672
1539,41.79
1540,23.118
1541,4.9715
1542,45.499
1543,8.4138
1544,28.363
1545,9.9758
1546,11.988
1547,42.876
1548,27.875
1549,42.618
1550,20.424
1551,14.594
1552,23.508
1553,19.357
1554,14.533
1555,13.876
1556,18.355
1557,42.409
1558,19.376
1559,12.43
1560,26.818
1561,17.425
1562,30.491
1563,10.111
1564,31.195
1565,6.4843
1566,33.531
1567,12.45
1568,11.36
1569,16.009
1570,37.578
1571,28.287
1572,23.504
1573,11.304
1574,48.758
1575,31.254
1576,32.326
1577,26.687
1578,25.506
1579,3.9861
1580,17.708
1581,10.83
1582,20.648
1583,21.58
1584,29.987
1585,48.558
1586,3.0978
1587,48.051
1588,18.056
1589,23.851
1590,37.533
1591,20.469
1592,17.473
1593,5.4424
1594,32.438
1595,45.834
1596,37.673
1597,28.838
1598,44.379
1599,20.08
1600,30.27
1601,9.6639
1602,35.416
1603,0.90009
1604,34.407
1605,18.938
1606,19.656
1607,21.413
1608,47.142
1609,1.9977
1610,8.923
1611,21.736
1612,12.9
1613,18.346
1614,8.8629
1615,40.062
1616,44.155
1617,13.739
1618,16.804
1619,30.165
1620,12.328
1621,2.7408
1622,23.836
1623,42.233
1624,45.375
1625,8.9065
1626,30.348
1627,36.011
1628,15.12
1629,14.093
1630,14.162
1631,40.155
1632,1.4985
1633,13.036
1634,43.442
1635,15.155
1636,31.593
1637,32.208
1638,41.987
1639,23.586
1640,38.033
1641,46.996
1642,29.087
1643,22.162
1644,24.767
1645,43.34
1646,38.336
1647,10.996
1648,16.807
1649,9.1712
1650,8.4603
1651,8.6694
1652,10.494
1653,33.289
1654,30.13
1655,31.524
1656,35.86
1657,21.791
1658,34.874
1659,13.614
1660,42.87
1661,20.605
1662,21.082
1663,33.2
1664,30.01
1665,39.048
1666,32.601
1667,27.283
1668,43.39
1669,43.488
1670,17.352
1671,13.953
1672,44.737
1673,43.026
1674,22.881
1675,33.609
1676,17.373
1677,22.111
1678,30.014
1679,46.526
1680,19.094
1681,12.944
1682,10.009
1683,12.518
1684,48.447
1685,24.423
1686,21.527
1687,9.8582
1688,29.033
1689,9.2365
1690,14.677
1691,26.47
1692,10.646
1693,19.376
1694,2.8444
1695,37.853
1696,38.387
1697,43.4
1698,33.915
1699,6.2149
1700,10.083
1701,1.7611
1702,37.35
1703,44.475
1704,24.482
1705,17.901
1706,47.931
1707,46.917
1708,39.306
1709,9.9286
1710,28.764
1711,7.7366
1712,14.911
1713,15.924
1714,8.191
1715,12.156
1716,43.152
1717,36.49
1718,25.137
1719,31.712
1720,29.005
1721,3.9456
1722,20.223
1723,32.161
1724,39.506
1725,34.841
1726,47.274
1727,25.533
1728,45.475
1729,31.646
1730,14.701
1731,25.99
1732,42.402
1733,27.013
1734,18.271
1735,17.883
1736,28.496
1737,37.515
1738,44.727
1739,32.905
1740,19.176
1741,46.778
1742,8.254
1743,40.101
1744,46.28
1745,9.8987
1746,6.8124
1747,30.901
1748,23.725
1749,33.08
1750,30.551
1751,3.4604
1752,22.358
1753,14.252
1754,20.872
1755,16.209
1756,23.664
1757,26.825
1758,9.5921
1759,3.3493
1760,10.444
1761,39.36
1762,29.97
1763,39.323
1764,47.847
1765,7.444
1766,10.018
1767,41.808
1768,34.341
1769,42.074
1770,9.4396
1771,5.4045
1772,32.341
1773,43.283
1774,27.096
1775,8.1402
1776,41.819
1777,37.942
1778,22.095
1779,12.401
1780,35.28
1781,12.692
1782,37.302
1783,31.52
1784,47.183
1785,25.221
1786,25.387
1787,29.919
1788,37.974
1789,26.345
1790,32.303
1791,20.843
1792,26.997
1793,30.392
1794,19.328
1795,10.17
1796,4.1464
1797,27.229
1798,44.434
1799,1.5542
1800,23.605
1801,16.845
1802,44.474
1803,28.048
1804,8.4608
1805,27.775
1806,16.416
1807,18.148
1808,22.119
1809,33.533
1810,18.724
1811,5.4697
1812,41.961
1813,15.562
1814,12.207
1815,18.538
1816,26.725
1817,42.002
1818,10.051
1819,33.166
1820,16.573
1821,3.3969
1822,17.052
1823,23.628
1824,9.9027
1825,3.76
1826,14.472
1827,17.728
1828,33.45
1829,19.529
1830,34.615
1831,25.37
1832,23.575
1833,9.4142
1834,2.6885
1835,41.714
1836,8.4413
1837,26.805
1838,6.9997
1839,24.45
1840,25.765
1841,35.729
1842,12.47
1843,39.784
1844,33.565
1845,48.353
1846,40.007
1847,43.051
1848,2.3098
1849,39.376
1850,18.349
1851,18.324
1852,18.051
1853,9.8586
1854,7.1272
1855,21.502
1856,24.158
1857,3.5728
1858,33.559
1859,2.2935
1860,31.963
1861,11.229
1862,12.093
1863,31.269
1864,38.078
1865,5.6321
1866,35.068
1867,3.7006
1868,27.085
1869,9.2319
1870,48.727
1871,37.534
1872,19.556
1873,36.171
1874,7.4699
1875,14.745
1876,42.046
1877,19.526
1878,37.705
1879,39.365
1880,8.7999
1881,44.434
1882,4.2336
1883,34.451
1884,28.825
1885,12.097
1886,8.9169
1887,14.574
1888,41.269
1889,45.251
1890,7.6213
1891,38.259
1892,44.782
1893,10.819
1894,27.568
1895,29.249
1896,11.872
1897,25.098
1898,1.8661
1899,17.551
1900,20.609
1901,22.712
1902,35.462
1903,27.54
1904,43.025
1905,20.564
1906,11.214
1907,38.97
1908,14.726
1909,16.699
1910,7.8946
1911,36.803
1912,19.482
1913,3.2339
1914,28.331
1915,39.697
1916,26.722
1917,2.4457
1918,27.474
1919,10.483
1920,40.607
1921,15.913
1922,30.034
1923,7.7175
1924,9.5299
1925,42.684
1926,40.551
1927,5.9175
1928,11.769
1929,11.512
1930,23.441
1931,25.468
1932,42.779
1933,27.308
1934,48.394
1935,9.7973
1936,31.355
1937,19.764
1938,46.859
1939,26.638
1940,37.265
1941,2.8055
1942,38.713
1943,15.667
1944,46.567
1945,11.067
1946,38.32
1947,39.816
1948,26.804
1949,29.465
1950,39.912
1951,30.222
1952,47.684
1953,33.205
1954,40.451
1955,27.699
1956,19.493
1957,43.676
1958,21.352
1959,3.7393
1960,8.585
1961,5.9725
1962,20.693
1963,15.759
1964,32.687
1965,5.9235
1966,37.705
1967,18.122
1968,19.536
1969,47.0
1970,31.502
1971,5.3395
1972,28.87
1973,49.483
1974,18.101
1975,15.288
1976,7.8553
1977,10.414
1978,4.2947
1979,5.1795
1980,26.211
1981,19.115
1982,4.3321
1983,24.583
1984,15.074
1985,8.922
1986,29.051
1987,35.957
1988,22.133
1989,12.085
1990,29.899
1991,4.1537
1992,49.627
1993,19.531
1994,37.484
1995,33.058
1996,44.909
1997,21.697
1998,6.5004
1999,36.899
2000,45.594
2001,15.555
2002,39.323
2003,34.078
2004,26.661
2005,13.929
2006,11.891
2007,26.262
2008,21.421
2009,43.112
2010,22.761
2011,42.836
2012,22.331
2013,29.445
2014,11.245
2015,15.935
2016,39.196
2017,37.77
2018,25.301
2019,32.207
2020,13.322
2021,48.579
2022,23.813
2023,30.993
2024,34.306
2025,6.6773
2026,30.919
2027,11.734
2028,7.2806
2029,48.613
2030,15.132
2031,14.263
2032,31.54
2033,45.822
2034,28.763
2035,21.399
2036,9.9872
2037,13.634
2038,23.045
2039,47.436
2040,25.318
2041,30.316
2042,46.777
2043,41.399
2044,26.785
2045,36.374
2046,44.84
2047,39.581
2048,18.213
2049,16.208
2050,22.023
2051,37.501
2052,45.929
2053,17.745
2054,6.4565
2055,14.768
2056,46.085
2057,6.3652
2058,41.217
2059,5.8859
2060,24.327
2061,13.842
2062,14.871
2063,13.971
2064,36.813
2065,41.452
2066,40.594
2067,4.8846
2068,23.391
2069,25.567
2070,15.124
2071,34.912
2072,44.418
2073,31.021
2074,18.68
2075,23.094
2076,13.906
2077,9.8831
2078,5.7842
2079,24.851
2080,27.115
2081,44.707
2082,7.4953
2083,17.896
2084,43.005
2085,6.6219
2086,10.61
2087,24.218
2088,19.921
2089,6.1536
2090,13.254
2091,16.908
2092,47.835
2093,18.533
2094,25.478
